,"Date","Account","Debit","Credit","Amount"
"Jan - Jun 11",,,,,
,"25/01/2011","6013 · Bonus",2097.69,"",2097.69
,"25/01/2011","6013 · Bonus","",2097.69,-2097.69
,"25/01/2011","6013 · Bonus","",4189.35,-4189.35
,"28/02/2011","6013 · Bonus",0.00,"",0.00
,"25/01/2011","6015 · MPF Contributions",128.21,"",128.21
,"25/01/2011","6015 · MPF Contributions",128.20,"",128.20
,"28/02/2011","6015 · MPF Contributions",128.21,"",128.21
,"31/03/2011","6015 · MPF Contributions",128.21,"",128.21
,"28/02/2011","6015 · MPF Contributions",122.37,"",122.37
,"31/03/2011","6015 · MPF Contributions",122.37,"",122.37
,"29/04/2011","6015 · MPF Contributions",128.21,"",128.21
,"29/04/2011","6015 · MPF Contributions",122.37,"",122.37
,"25/01/2011","6018 · Medical Benefits",144.87,"",144.87
,"11/03/2011","6018 · Medical Benefits",103.85,"",103.85
,"13/05/2011","6018 · Medical Benefits",107.69,"",107.69
,"1/01/2011","6021 · Rent",2703.65,"",2703.65
,"2/01/2011","6021 · Rent",2703.65,"",2703.65
,"1/03/2011","6021 · Rent",2703.65,"",2703.65
,"1/04/2011","6021 · Rent",2703.65,"",2703.65
,"1/05/2011","6021 · Rent",2703.65,"",2703.65
,"1/04/2011","6022 · Amenities",487.72,"",487.72
,"1/01/2011","6023 · Service Charge",455.91,"",455.91
,"2/01/2011","6023 · Service Charge",455.91,"",455.91
,"1/03/2011","6023 · Service Charge",455.92,"",455.92
,"1/05/2011","6023 · Service Charge",487.72,"",487.72
,"1/03/2011","6025 · Rates",96.15,"",96.15
,"1/05/2011","6025 · Rates",144.23,"",144.23
,"25/01/2011","6031 · Office Cleaning/Amenities",64.10,"",64.10
,"11/03/2011","6031 · Office Cleaning/Amenities",128.21,"",128.21
,"13/05/2011","6031 · Office Cleaning/Amenities",128.21,"",128.21
,"31/01/2011","6120 · Bank Service Charges",1.95,"",1.95
,"28/02/2011","6120 · Bank Service Charges",30.78,"",30.78
,"28/02/2011","6120 · Bank Service Charges",30.78,"",30.78
,"28/02/2011","6120 · Bank Service Charges",20.52,"",20.52
,"21/03/2011","6120 · Bank Service Charges",1.95,"",1.95
,"31/05/2011","6120 · Bank Service Charges",30.87,"",30.87
,"25/01/2011","6165 · Entertainment",18.46,"",18.46
,"8/05/2011","6185 · Professional Indemnity Insuranc",337.12,"",337.12
,"25/01/2011","6240 · Miscellaneous",329.00,"",329.00
,"11/03/2011","6240 · Miscellaneous",25.64,"",25.64
,"13/05/2011","6250 · Postage and Delivery",8.97,"",8.97
,"14/03/2011","6273 · Audit Fee",128.51,"",128.51
,"7/01/2011","6275 · Other Professional Services",320.51,"",320.51
,"7/01/2011","6276 · Disbursements",19.87,"",19.87
,"14/03/2011","6276 · Disbursements",256.40,"",256.40
,"25/01/2011","6322 · Internet Charges",31.28,"",31.28
,"11/03/2011","6322 · Internet Charges",62.56,"",62.56
,"13/05/2011","6322 · Internet Charges",62.56,"",62.56
,"26/02/2011","6326 · Service Fee",42.31,"",42.31
,"26/03/2011","6326 · Service Fee",719.10,"",719.10
,"25/01/2011","6335 · Service Charge",20.65,"",20.65
,"11/03/2011","6335 · Service Charge",49.76,"",49.76
,"13/05/2011","6335 · Service Charge",47.95,"",47.95
,"24/01/2011","6392 · Gas and Electric",101.03,"",101.03
,"23/02/2011","6392 · Gas and Electric",95.00,"",95.00
,"28/03/2011","6392 · Gas and Electric",110.26,"",110.26
,"27/04/2011","6392 · Gas and Electric",94.62,"",94.62
,"31/01/2011","6710 · Software Consultancy Devt Exp",11086.00,"",11086.00
,"10/03/2011","6710 · Software Consultancy Devt Exp",15000.00,"",15000.00
,"11/05/2011","6710 · Software Consultancy Devt Exp",16500.00,"",16500.00
,"11/01/2011","6960 · Exchange Gain/Loss","",573.86,-573.86
,"11/01/2011","6960 · Exchange Gain/Loss","",490.28,-490.28
,"24/05/2011","6960 · Exchange Gain/Loss",26.11,"",26.11
,"31/01/2011","7010 · Interest Income","",0.95,-0.95
,"28/02/2011","7010 · Interest Income","",0.78,-0.78
,"21/03/2011","7010 · Interest Income","",0.47,-0.47
,"30/04/2011","7010 · Interest Income","",0.45,-0.45
,"31/05/2011","7010 · Interest Income","",0.42,-0.42
"Jan - Jun 11",,,461696.31,461696.31,0.00
